8 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 8
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
194	2.12812647	0.00253559709	85.3854918	200	8.661812	34.554974	14.229569	48.095377
195	2.12811246	0.00195809729	85.7801058	201	8.646399	34.496800	14.229569	48.095377
196	2.12809918	0.00210334142	86.2805879	202	8.650252	34.525887	14.244981	48.124455
197	2.12809317	0.00517896274	86.9248619	203	8.657959	34.554974	14.241128	48.066298
198	2.12807866	0.00181898242	87.3702488	204	8.657959	34.525887	14.241128	48.124455
199	2.1280718	0.00135068807	87.8207426	205	8.646399	34.525887	14.248834	48.095377
200	2.12806372	0.00181394223	88.2372317	206	8.654105	34.496800	14.248834	48.095377
201	2.12805234	0.00288599272	88.7909358	207	8.654105	34.496800	14.241128	48.095377
202	2.12803928	0.00220153998	89.3284676	208	8.673371	34.525887	14.264247	48.124455
203	2.12803022	0.00148794701	89.7202384	209	8.669518	34.496800	14.264247	48.124455
204	2.12802068	0.00248643861	90.1057374	210	8.684930	34.525887	14.248834	48.095377
205	2.12801425	0.00182941326	90.5053084	211	8.669518	34.525887	14.241128	48.095377
206	2.12800933	0.00154526833	90.8803115	212	8.654105	34.525887	14.241128	48.095377
207	2.12799496	0.00286346969	91.2836225	213	8.646399	34.467714	14.264247	48.124455
208	2.12799142	0.00382174577	91.6792367	214	8.642546	34.438627	14.252688	48.066298
209	2.12798421	0.00130267362	92.0805595	215	8.638693	34.438627	14.241128	48.008142
210	2.12798053	0.000858744398	92.5598655	216	8.638693	34.467714	14.241128	48.008142
211	2.12797575	0.00140306231	93.0221794	217	8.638693	34.467714	14.244981	47.979064
212	2.12797305	0.00282529688	93.3921633	218	8.634840	34.438627	14.248834	48.037220
213	2.12796844	0.00120299407	93.7755613	219	8.646399	34.467714	14.244981	48.008142
214	2.12796373	0.00111601085	94.1476274	220	8.646399	34.496800	14.244981	48.008142
215	2.12795855	0.00162684201	94.5182383	221	8.650252	34.496800	14.248834	48.008142
216	2.12795008	0.00192719174	94.9021854	222	8.657959	34.467714	14.233422	48.008142
217	2.12794636	0.00215631971	95.6409955	224	8.657959	34.467714	14.241128	47.979064
218	2.12794107	0.00103231084	96.0304487	225	8.646399	34.438627	14.241128	48.008142
219	2.12793717	0.000980366454	96.4202785	226	8.646399	34.438627	14.248834	48.066298
220	2.12793331	0.00181831911	96.8080354	227	8.650252	34.438627	14.248834	48.066298
221	2.12792983	0.000967521285	97.2704713	228	8.657959	34.496800	14.248834	48.066298
222	2.12792706	0.000883252898	97.7995484	229	8.657959	34.496800	14.237275	48.037220
223	2.12792384	0.00144374908	98.3608785	230	8.650252	34.496800	14.237275	48.037220
224	2.12792051	0.00114534721	98.8497634	231	8.657959	34.496800	14.237275	48.037220
225	2.12791782	0.000785322833	99.3181865	232	8.657959	34.496800	14.241128	48.037220
226	2.12791424	0.00104918834	99.7113755	233	8.654105	34.467714	14.241128	48.037220
227	2.12791207	0.00199084756	100.187545	234	8.654105	34.525887	14.252688	48.124455
228	2.12790953	0.000969533379	100.597108	235	8.650252	34.496800	14.252688	48.124455
229	2.12790716	0.000643820412	101.140749	236	8.665665	34.525887	14.233422	48.095377
230	2.12790578	0.000764080089	101.735654	237	8.665665	34.525887	14.233422	48.095377
231	2.1279038	0.00238637791	102.151527	238	8.657959	34.438627	14.241128	48.124455
232	2.12789983	0.000849584846	102.559793	239	8.665665	34.496800	14.229569	48.066298
233	2.12789846	0.000604915912	102.942263	240	8.661812	34.496800	14.233422	48.095377
234	2.12789643	0.000730036571	103.51462	241	8.665665	34.496800	14.229569	48.066298
235	2.12789494	0.00198187724	103.916268	242	8.665665	34.496800	14.233422	48.066298
236	2.12789257	0.000867428005	104.388331	243	8.654105	34.467714	14.233422	48.066298
237	2.12789086	0.000568422992	104.786093	244	8.650252	34.438627	14.237275	48.066298
238	2.12788967	0.000634542061	105.364225	245	8.650252	34.467714	14.237275	48.066298
239	2.12788822	0.00135549419	105.737403	246	8.665665	34.467714	14.256541	48.124455
240	2.12788639	0.000550042592	106.151032	247	8.650252	34.438627	14.244981	48.095377
241	2.1278855	0.000473296168	106.598257	248	8.654105	34.438627	14.244981	48.095377
242	2.12788411	0.00065690185	107.015204	249	8.654105	34.438627	14.237275	48.095377
243	2.1278833	0.000876989824	107.992585	251	8.646399	34.409540	14.244981	48.095377
244	2.12788225	0.000537120242	108.677104	252	8.642546	34.380454	14.233422	48.095377
245	2.12788112	0.000468173192	109.292471	253	8.646399	34.409540	14.229569	48.066298
246	2.12788038	0.000881478239	109.686886	254	8.646399	34.409540	14.233422	48.066298
247	2.12787958	0.000468668704	110.071892	255	8.654105	34.409540	14.237275	48.095377
248	2.12787873	0.000436317707	110.565473	256	8.654105	34.409540	14.241128	48.095377
249	2.12787802	0.000733882743	110.942349	257	8.657959	34.438627	14.237275	48.066298
250	2.12787727	0.000502333687	111.372805	258	8.657959	34.438627	14.241128	48.066298
251	2.12787664	0.000376802038	111.932965	259	8.665665	34.467714	14.241128	48.066298
252	2.12787595	0.000629750815	112.672534	260	8.665665	34.467714	14.233422	48.037220
253	2.12787525	0.000517197623	113.055308	261	8.661812	34.467714	14.233422	48.037220
254	2.12787464	0.000478077638	113.474734	262	8.654105	34.438627	14.225716	48.037220
255	2.1278739	0.000729496013	113.992553	263	8.654105	34.438627	14.221863	48.008142
256	2.12787345	0.000523575583	114.395123	264	8.657959	34.438627	14.225716	48.008142
257	2.12787313	0.000388981351	114.940711	265	8.657959	34.438627	14.225716	48.008142
258	2.12787234	0.000376011321	115.319433	266	8.654105	34.438627	14.233422	48.037220
259	2.12787198	0.000741494295	115.716176	267	8.654105	34.438627	14.237275	48.037220
260	2.12787152	0.000435912608	116.131718	268	8.654105	34.438627	14.237275	48.037220
261	2.12787095	0.000296662307	116.671005	269	8.654105	34.438627	14.237275	48.037220
262	2.12787067	0.0004002452	117.062095	270	8.654105	34.438627	14.229569	48.037220
263	2.12787014	0.000363785304	117.636196	271	8.657959	34.467714	14.233422	48.037220
264	2.12786994	0.00126769324	118.038271	272	8.669518	34.525887	14.233422	48.037220
265	2.12786923	0.000406034392	118.62989	273	8.661812	34.496800	14.233422	48.037220
266	2.12786889	0.000287828094	119.015991	274	8.661812	34.496800	14.233422	48.037220
267	2.12786845	0.000357189288	119.410875	275	8.669518	34.496800	14.233422	48.037220
268	2.127868	0.000897500151	119.864267	276	8.661812	34.438627	14.241128	48.037220
269	2.12786747	0.000318683961	120.245406	277	8.661812	34.438627	14.229569	48.008142
270	2.12786724	0.000235766861	120.642286	278	8.661812	34.438627	14.229569	48.008142
271	2.12786697	0.000330135921	121.144203	279	8.665665	34.467714	14.229569	48.008142
272	2.12786673	0.00058975027	121.541928	280	8.661812	34.438627	14.233422	48.037220
273	2.1278664	0.00030991135	121.982188	281	8.665665	34.467714	14.229569	48.037220
274	2.12786602	0.000316109771	122.371944	282	8.661812	34.438627	14.233422	48.037220
275	2.12786571	0.000375004284	122.985589	283	8.661812	34.438627	14.237275	48.037220
276	2.12786544	0.000647520279	123.858666	285	8.657959	34.438627	14.237275	48.066298
277	2.12786501	0.000310056701	124.264052	286	8.657959	34.438627	14.233422	48.066298
278	2.12786471	0.000222680891	124.640951	287	8.657959	34.438627	14.225716	48.037220
279	2.12786439	0.000315626611	125.031487	288	8.657959	34.438627	14.225716	48.037220
280	2.12786417	0.000578546219	125.416152	289	8.657959	34.438627	14.225716	48.008142
281	2.12786385	0.00030086093	125.804463	290	8.661812	34.467714	14.225716	48.008142
282	2.12786354	0.000272951543	126.196828	291	8.661812	34.467714	14.229569	48.008142
283	2.12786329	0.000311985072	126.662369	292	8.661812	34.467714	14.225716	47.979064
284	2.12786308	0.000582490565	127.410554	294	8.661812	34.467714	14.229569	48.037220
285	2.12786277	0.000316592761	127.793905	295	8.657959	34.467714	14.229569	48.037220
286	2.12786249	0.000216775375	128.181105	296	8.657959	34.467714	14.229569	48.037220
287	2.12786223	0.000368591644	128.579331	297	8.661812	34.467714	14.229569	48.037220
288	2.12786202	0.000485319273	128.958426	298	8.661812	34.467714	14.225716	48.008142
289	2.12786181	0.000254934689	129.374438	299	8.661812	34.467714	14.225716	48.008142
290	2.1278616	0.000227632789	129.753057	300	8.661812	34.467714	14.225716	48.008142
291	2.12786144	0.000280359635	130.139978	301	8.661812	34.467714	14.225716	48.008142
292	2.12786117	0.000441957028	130.523834	302	8.657959	34.467714	14.225716	48.008142
293	2.12786092	0.000237408956	130.89508	303	8.654105	34.467714	14.225716	48.008142
